RIC,CRIC,Date
SCFV1,2011V,2011-10-17
SCFV2,2002V,2002-10-15
SCFV2,2012V,2012-10-15
SCFV3,2003V,2003-10-15
SCFV3,2013V,2013-10-15
SCFV4,2004V,2004-10-15
SCFV4,2014V,2014-10-15
SCFV5,2005V,2005-10-17
SCFV5,2015V,2015-10-15
SCFV6,2006V,2006-10-16
SCFV6,2016V,2016-10-17
SCFV7,2007V,2007-10-15
SCFV7,2017V,2017-10-16
SCFV8,2008V,2008-10-15
SCFV8,2018V,2018-10-11
