Date,OnWarrant
29/06/2012,28347
22/06/2012,29294
15/06/2012,31288
08/06/2012,33010
01/06/2012,39534
25/05/2012,43958
18/05/2012,66964
11/05/2012,76964
04/05/2012,86809
27/04/2012,90632
20/04/2012,98992
13/04/2012,96647
06/04/2012,103104
30/03/2012,103882
23/03/2012,104487
16/03/2012,109111
09/03/2012,100023
02/03/2012,99700
24/02/2012,97351
17/02/2012,100828
10/02/2012,79816
03/02/2012,70516
20/01/2012,54388
13/01/2012,42180
06/01/2012,18801
30/12/2011,12349
23/12/2011,11178
16/12/2011,16078
09/12/2011,7003
02/12/2011,7228
25/11/2011,7603
18/11/2011,11904
11/11/2011,10994
04/11/2011,11393
28/10/2011,11717
21/10/2011,19402
14/10/2011,24371
30/09/2011,22294
23/09/2011,27050
16/09/2011,31312
09/09/2011,26137
02/09/2011,27592
26/08/2011,27844
19/08/2011,29863
12/08/2011,31971
05/08/2011,34052
29/07/2011,31893
22/07/2011,31519
15/07/2011,30374
08/07/2011,22306
01/07/2011,21576
24/06/2011,20855
17/06/2011,29053
10/06/2011,22774
03/06/2011,23198
27/05/2011,24399
20/05/2011,28652
13/05/2011,30231
06/05/2011,21246
29/04/2011,27267
22/04/2011,32843
15/04/2011,43963
08/04/2011,43613
01/04/2011,48721
25/03/2011,70599
18/03/2011,71077
11/03/2011,71077
04/03/2011,79424
25/02/2011,77854
18/02/2011,80763
11/02/2011,66056
04/02/2011,66056
28/01/2011,63694
21/01/2011,67358
14/01/2011,65307
07/01/2011,61226
31/12/2010,58576
24/12/2010,59531
17/12/2010,64005
10/12/2010,56231
03/12/2010,50705
26/11/2010,50888
19/11/2010,51686
12/11/2010,53331
05/11/2010,42791
29/10/2010,39214
22/10/2010,36130
15/10/2010,34802
08/10/2010,22711
01/10/2010,22762
24/09/2010,23059
17/09/2010,29551
10/09/2010,22237
03/09/2010,19234
27/08/2010,16864
20/08/2010,20468
13/08/2010,20989
06/08/2010,21113
30/07/2010,22216
23/07/2010,26198
16/07/2010,34350
09/07/2010,26245
02/07/2010,27471
25/06/2010,32045
18/06/2010,41074
11/06/2010,40571
04/06/2010,46587
28/05/2010,50991
21/05/2010,58389
14/05/2010,73136
07/05/2010,77753
30/04/2010,84063
23/04/2010,79674
16/04/2010,84922
09/04/2010,59158
02/04/2010,52128
26/03/2010,47908
19/03/2010,50962
12/03/2010,50417
05/03/2010,36411
26/02/2010,31780
12/02/2010,29978
05/02/2010,30530
29/01/2010,31156
22/01/2010,31436
15/01/2010,33669
08/01/2010,33715
01/01/2010,31166
25/12/2009,30609
18/12/2009,42501
11/12/2009,34520
04/12/2009,33552
27/11/2009,34588
20/11/2009,32833
13/11/2009,32885
06/11/2009,28121
30/10/2009,27019
23/10/2009,21513
16/10/2009,28621
09/10/2009,16126
02/10/2009,16379
25/09/2009,21659
18/09/2009,25485
11/09/2009,19499
04/09/2009,18826
28/08/2009,19332
21/08/2009,22813
14/08/2009,17051
07/08/2009,14369
31/07/2009,13218
24/07/2009,12743
17/07/2009,15222
10/07/2009,10013
03/07/2009,10734
26/06/2009,11133
19/06/2009,15753
12/06/2009,11836
05/06/2009,8328
29/05/2009,9081
22/05/2009,10478
15/05/2009,10925
08/05/2009,6356
01/05/2009,6356
24/04/2009,6607
17/04/2009,11953
10/04/2009,6679
03/04/2009,6829
27/03/2009,8076
20/03/2009,10650
13/03/2009,11677
06/03/2009,11002
27/02/2009,10925
20/02/2009,12698
13/02/2009,9430
06/02/2009,8577
23/01/2009,8526
16/01/2009,12306
09/01/2009,7953
02/01/2009,8279
26/12/2008,8804
19/12/2008,9602
12/12/2008,7730
05/12/2008,7551
28/11/2008,8354
21/11/2008,11220
14/11/2008,10200
07/11/2008,10372
31/10/2008,11496
24/10/2008,13416
17/10/2008,16903
10/10/2008,8825
26/09/2008,7601
19/09/2008,13836
12/09/2008,7120
05/09/2008,8169
29/08/2008,8169
22/08/2008,11615
15/08/2008,15375
08/08/2008,11241
01/08/2008,15434
25/07/2008,19697
18/07/2008,23692
11/07/2008,12971
04/07/2008,13144
27/06/2008,12995
20/06/2008,19298
13/06/2008,13822
06/06/2008,14198
30/05/2008,17995
23/05/2008,21224
16/05/2008,28944
09/05/2008,20027
02/05/2008,20076
25/04/2008,21749
18/04/2008,28624
11/04/2008,24300
04/04/2008,23249
28/03/2008,23298
21/03/2008,33119
14/03/2008,29602
07/03/2008,21335
29/02/2008,18377
22/02/2008,19894
15/02/2008,12775
01/02/2008,8797
25/01/2008,10115
18/01/2008,17785
11/01/2008,8795
04/01/2008,9894
